051	BANCO FALABELLA
8110000	 0000000094997,00	
8111000	 0000000000000,00	
8113000	 0000000006759,00	
8114000	 0000000028464,00	
8115000	 0000000059774,00	
8130000	 0000000052071,00	
8131000	 0000000000000,00	
8133000	 0000000001306,00	
8134000	 0000000000280,00	
8135000	 0000000050485,00	
8140000	 0000000009444,00	
8141000	 0000000000000,00	
8143000	 0000000001057,00	
8144000	 0000000000427,00	
8145000	 0000000007960,00	
8310000	 0000000249874,00	
8311000	 0000000000000,00	
8312000	 0000000000000,00	
8314000	 0000000000000,00	
8315000	 0000000000000,00	
8315100	 0000000000000,00	
8315200	 0000000000000,00	
8317000	 0000000249380,00	
8318000	 0000000000494,00	
8318100	 0000000000494,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000000000000,00	
8511000	 0000000000000,00	
8513000	 0000000000000,00	
8520000	 0000000000000,00	
8521000	 0000000000000,00	
8523000	 0000000000000,00	
8530000	 0000000000000,00	
8531000	 0000000000000,00	
8533000	 0000000000000,00	
8540000	 0000001601026,00	
8543000	 0000000092965,00	
8544000	 0000000422492,00	
8545000	 0000001085569,00	
8560000	 0000000094997,00	
8563000	 0000000006759,00	
8564000	 0000000028464,00	
8565000	 0000000059774,00	
8610000	 0000000003300,00	
8620000	 0000000000000,00	
8630000	 0000000000000,00	
8640000	 0000000246295,00	
8660000	 0000000000279,00	
