016	BANCO DE CRÉDITO E INVERSIONES
8110000	 0000001322535,00	
8111000	 0000000000000,00	
8113000	 0000000802834,00	
8114000	 0000000205426,00	
8115000	 0000000314275,00	
8130000	 0000000119130,00	
8131000	 0000000000000,00	
8133000	 0000000037895,00	
8134000	 0000000004122,00	
8135000	 0000000077113,00	
8140000	 0000000030125,00	
8141000	 0000000000000,00	
8143000	 0000000012766,00	
8144000	 0000000002139,00	
8145000	 0000000015220,00	
8310000	 0000007694550,00	
8311000	 0000000138514,00	
8312000	 0000000002874,00	
8314000	 0000000303598,00	
8315000	 0000001327723,00	
8315100	 0000000997652,00	
8315200	 0000000330071,00	
8317000	 0000005479054,00	
8318000	 0000000442787,00	
8318100	 0000000015321,00	
8318900	 0000000427466,00	
8319000	 0000000000000,00	
8510000	 0000014199750,00	
8511000	 0000000360828,00	
8513000	 0000013838922,00	
8520000	 0000000546180,00	
8521000	 0000000000000,00	
8523000	 0000000546180,00	
8530000	 0000000346725,00	
8531000	 0000000000000,00	
8533000	 0000000346725,00	
8540000	 0000012619632,00	
8543000	 0000003284726,00	
8544000	 0000006680820,00	
8545000	 0000002654086,00	
8560000	 0000000880177,00	
8563000	 0000000360476,00	
8564000	 0000000205426,00	
8565000	 0000000314275,00	
8610000	 0000003553842,00	
8620000	 0000000103910,00	
8630000	 0000000005225,00	
8640000	 0000004019391,00	
8660000	 0000000012182,00	
