039	ITAÚ CORPBANCA
8110000	 0000001313855,00	
8111000	 0000000000000,00	
8113000	 0000000985725,00	
8114000	 0000000196601,00	
8115000	 0000000131529,00	
8130000	 0000000168090,00	
8131000	 0000000000000,00	
8133000	 0000000068680,00	
8134000	 0000000004268,00	
8135000	 0000000095142,00	
8140000	 0000000024872,00	
8141000	 0000000000000,00	
8143000	 0000000009631,00	
8144000	 0000000001719,00	
8145000	 0000000013522,00	
8310000	 0000005475210,00	
8311000	 0000000355613,00	
8312000	 0000000000000,00	
8314000	 0000000107770,00	
8315000	 0000001221044,00	
8315100	 0000000871321,00	
8315200	 0000000349723,00	
8317000	 0000002403607,00	
8318000	 0000001387176,00	
8318100	 0000001068719,00	
8318900	 0000000318457,00	
8319000	 0000000000000,00	
8510000	 0000010864352,00	
8511000	 0000000076175,00	
8513000	 0000010788177,00	
8520000	 0000000612681,00	
8521000	 0000000000000,00	
8523000	 0000000612681,00	
8530000	 0000000474577,00	
8531000	 0000000000000,00	
8533000	 0000000474577,00	
8540000	 0000008561529,00	
8543000	 0000001913601,00	
8544000	 0000004172101,00	
8545000	 0000002475827,00	
8560000	 0000000534040,00	
8563000	 0000000205910,00	
8564000	 0000000196601,00	
8565000	 0000000131529,00	
8610000	 0000002241423,00	
8620000	 0000000116869,00	
8630000	 0000000002919,00	
8640000	 0000003105727,00	
8660000	 0000000008272,00	
