049	BANCO SECURITY
8110000	 0000000230923,00	
8111000	 0000000000000,00	
8113000	 0000000206840,00	
8114000	 0000000008145,00	
8115000	 0000000015938,00	
8130000	 0000000023474,00	
8131000	 0000000000000,00	
8133000	 0000000012410,00	
8134000	 0000000000431,00	
8135000	 0000000010633,00	
8140000	 0000000003627,00	
8141000	 0000000000000,00	
8143000	 0000000001481,00	
8144000	 0000000000329,00	
8145000	 0000000001817,00	
8310000	 0000001168444,00	
8311000	 0000000017342,00	
8312000	 0000000002599,00	
8314000	 0000000023340,00	
8315000	 0000000242793,00	
8315100	 0000000225796,00	
8315200	 0000000016997,00	
8317000	 0000000882370,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000002766500,00	
8511000	 0000000005321,00	
8513000	 0000002761179,00	
8520000	 0000000760233,00	
8521000	 0000000000000,00	
8523000	 0000000760233,00	
8530000	 0000000137659,00	
8531000	 0000000000000,00	
8533000	 0000000137659,00	
8540000	 0000001342645,00	
8543000	 0000000282754,00	
8544000	 0000000604794,00	
8545000	 0000000455097,00	
8560000	 0000000039480,00	
8563000	 0000000015397,00	
8564000	 0000000008145,00	
8565000	 0000000015938,00	
8610000	 0000000448095,00	
8620000	 0000000014597,00	
8630000	 0000000005059,00	
8640000	 0000000700454,00	
8660000	 0000000000239,00	
