055	BANCO CONSORCIO
8110000	 0000000047211,00	
8111000	 0000000000000,00	
8113000	 0000000045265,00	
8114000	 0000000000466,00	
8115000	 0000000001480,00	
8130000	 0000000002536,00	
8131000	 0000000000000,00	
8133000	 0000000001213,00	
8134000	 0000000000036,00	
8135000	 0000000001287,00	
8140000	 0000000000417,00	
8141000	 0000000000000,00	
8143000	 0000000000004,00	
8144000	 0000000000005,00	
8145000	 0000000000408,00	
8310000	 0000000071916,00	
8311000	 0000000000000,00	
8312000	 0000000009533,00	
8314000	 0000000000000,00	
8315000	 0000000050829,00	
8315100	 0000000049008,00	
8315200	 0000000001821,00	
8317000	 0000000011554,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000001898635,00	
8511000	 0000000000000,00	
8513000	 0000001898635,00	
8520000	 0000000165770,00	
8521000	 0000000000000,00	
8523000	 0000000165770,00	
8530000	 0000000027270,00	
8531000	 0000000000000,00	
8533000	 0000000027270,00	
8540000	 0000000212542,00	
8543000	 0000000007531,00	
8544000	 0000000129882,00	
8545000	 0000000075129,00	
8560000	 0000000001960,00	
8563000	 0000000000014,00	
8564000	 0000000000466,00	
8565000	 0000000001480,00	
8610000	 0000000070480,00	
8620000	 0000000000492,00	
8630000	 0000000000102,00	
8640000	 0000000000841,00	
8660000	 0000000000001,00	
