001	BANCO DE CHILE
8110000	 0000000778138,00	
8111000	 0000000000000,00	
8113000	 0000000357812,00	
8114000	 0000000160050,00	
8115000	 0000000260276,00	
8130000	 0000000145288,00	
8131000	 0000000000000,00	
8133000	 0000000029659,00	
8134000	 0000000003156,00	
8135000	 0000000112473,00	
8140000	 0000000026151,00	
8141000	 0000000000000,00	
8143000	 0000000006772,00	
8144000	 0000000001826,00	
8145000	 0000000017553,00	
8310000	 0000010448970,00	
8311000	 0000000361225,00	
8312000	 0000000030712,00	
8314000	 0000000344592,00	
8315000	 0000002154857,00	
8315100	 0000001822657,00	
8315200	 0000000332200,00	
8317000	 0000007514983,00	
8318000	 0000000042601,00	
8318100	 0000000000000,00	
8318900	 0000000042601,00	
8319000	 0000000000000,00	
8510000	 0000011410960,00	
8511000	 0000000402074,00	
8513000	 0000011008886,00	
8520000	 0000000097940,00	
8521000	 0000000000000,00	
8523000	 0000000097940,00	
8530000	 0000000140191,00	
8531000	 0000000000000,00	
8533000	 0000000140191,00	
8540000	 0000014637097,00	
8543000	 0000003258172,00	
8544000	 0000007494175,00	
8545000	 0000003884750,00	
8560000	 0000000632392,00	
8563000	 0000000212066,00	
8564000	 0000000160050,00	
8565000	 0000000260276,00	
8610000	 0000004217861,00	
8620000	 0000000010908,00	
8630000	 0000000000906,00	
8640000	 0000006207542,00	
8660000	 0000000011753,00	
