014	SCOTIABANK CHILE
8110000	 0000000555451,00	
8111000	 0000000000000,00	
8113000	 0000000234980,00	
8114000	 0000000197526,00	
8115000	 0000000122945,00	
8130000	 0000000086482,00	
8131000	 0000000000000,00	
8133000	 0000000014655,00	
8134000	 0000000001338,00	
8135000	 0000000070489,00	
8140000	 0000000023132,00	
8141000	 0000000000000,00	
8143000	 0000000004812,00	
8144000	 0000000001678,00	
8145000	 0000000016642,00	
8310000	 0000003931386,00	
8311000	 0000000088937,00	
8312000	 0000000003925,00	
8314000	 0000000053020,00	
8315000	 0000000330847,00	
8315100	 0000000178219,00	
8315200	 0000000152628,00	
8317000	 0000003068567,00	
8318000	 0000000386090,00	
8318100	 0000000382392,00	
8318900	 0000000003698,00	
8319000	 0000000000000,00	
8510000	 0000004071633,00	
8511000	 0000000000797,00	
8513000	 0000004070836,00	
8520000	 0000000121227,00	
8521000	 0000000000000,00	
8523000	 0000000121227,00	
8530000	 0000000056301,00	
8531000	 0000000000000,00	
8533000	 0000000056301,00	
8540000	 0000006606851,00	
8543000	 0000001091065,00	
8544000	 0000003724026,00	
8545000	 0000001791760,00	
8560000	 0000000433842,00	
8563000	 0000000113371,00	
8564000	 0000000197526,00	
8565000	 0000000122945,00	
8610000	 0000000603664,00	
8620000	 0000000001935,00	
8630000	 0000000001836,00	
8640000	 0000003313144,00	
8660000	 0000000010807,00	
