028	BANCO BICE
8110000	 0000000079180,00	
8111000	 0000000000000,00	
8113000	 0000000071300,00	
8114000	 0000000005152,00	
8115000	 0000000002728,00	
8130000	 0000000001648,00	
8131000	 0000000000000,00	
8133000	 0000000000697,00	
8134000	 0000000000014,00	
8135000	 0000000000937,00	
8140000	 0000000000680,00	
8141000	 0000000000000,00	
8143000	 0000000000173,00	
8144000	 0000000000137,00	
8145000	 0000000000370,00	
8310000	 0000001438834,00	
8311000	 0000000008607,00	
8312000	 0000000020880,00	
8314000	 0000000058607,00	
8315000	 0000000319057,00	
8315100	 0000000294772,00	
8315200	 0000000024285,00	
8317000	 0000000844031,00	
8318000	 0000000182837,00	
8318100	 0000000000000,00	
8318900	 0000000182837,00	
8319000	 0000000004815,00	
8510000	 0000003387827,00	
8511000	 0000000000000,00	
8513000	 0000003387827,00	
8520000	 0000000230305,00	
8521000	 0000000000000,00	
8523000	 0000000230305,00	
8530000	 0000000037800,00	
8531000	 0000000000000,00	
8533000	 0000000037800,00	
8540000	 0000001400882,00	
8543000	 0000000319601,00	
8544000	 0000000939629,00	
8545000	 0000000141652,00	
8560000	 0000000015337,00	
8563000	 0000000007457,00	
8564000	 0000000005152,00	
8565000	 0000000002728,00	
8610000	 0000001084169,00	
8620000	 0000000026324,00	
8630000	 0000000000431,00	
8640000	 0000000327519,00	
8660000	 0000000000391,00	
