504	BANCO BILBAO VIZCAYA ARGENTARIA CHILE
8110000	 0000000312371,00	
8111000	 0000000000000,00	
8113000	 0000000141831,00	
8114000	 0000000117617,00	
8115000	 0000000052923,00	
8130000	 0000000044405,00	
8131000	 0000000000000,00	
8133000	 0000000007305,00	
8134000	 0000000002341,00	
8135000	 0000000034759,00	
8140000	 0000000012413,00	
8141000	 0000000000000,00	
8143000	 0000000002014,00	
8144000	 0000000001226,00	
8145000	 0000000009173,00	
8310000	 0000002930970,00	
8311000	 0000000093878,00	
8312000	 0000000010270,00	
8314000	 0000000071819,00	
8315000	 0000000851439,00	
8315100	 0000000745459,00	
8315200	 0000000105980,00	
8317000	 0000001785739,00	
8318000	 0000000117825,00	
8318100	 0000000000000,00	
8318900	 0000000117825,00	
8319000	 0000000000000,00	
8510000	 0000004117180,00	
8511000	 0000000030040,00	
8513000	 0000004087140,00	
8520000	 0000000067261,00	
8521000	 0000000000000,00	
8523000	 0000000067261,00	
8530000	 0000000084789,00	
8531000	 0000000000000,00	
8533000	 0000000084789,00	
8540000	 0000005433169,00	
8543000	 0000000509435,00	
8544000	 0000003776702,00	
8545000	 0000001147032,00	
8560000	 0000000205252,00	
8563000	 0000000034712,00	
8564000	 0000000117617,00	
8565000	 0000000052923,00	
8610000	 0000001772301,00	
8620000	 0000000002818,00	
8630000	 0000000001221,00	
8640000	 0000001148938,00	
8660000	 0000000005692,00	
